Review;Product quality;Price;Service Quality;Delivery quality
"no doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.bluetooth range not more than 10m2. pain in ear due the conical buds(can be removed)3. wires are a bit long which makes it odd in front.4. no pouch provided.5. worst part is very low quality and distoring mic. other person keeps complaining about my voice.
";Negative;-;-;-
"this earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.guys,also for the proof i have attached picsplease see and think before buying? this unreliable product.thanks.
";Negative;-;-;-
"its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. i am claiming for warrenty and it is still undergoing.
";Positive;-;-;-
"after 11 days, the charging port isn't working and now i can't even return it. wat to do ?? i know there is one year warranty but it is only been 11 days. c'mon boat, please send me new one.
";-;-;-;-
"after one month usage reviewing this .pros-1- sound quality2- design3- weight4- batterycons1- very bad mic for talking2- can't use while riding bike3 - music is too loud
";-;-;-;-
"the product durability is 1 month..i just lost my bill details so i cant claim my warrenty .. but this earphones built quality is bad . it stops wrking completely after 1 month sep 14 to nov 11 ?? life span .. dont lose ur bill details incase u want that warranty.. and after purchasing u must register ur product in boat's site for replacement and warranty
";-;-;-;-
"what on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a boat.... #disappointed
";-;-;-;-
"product stopped working in a month time
";-;-;-;-
"right speaker is not working at all. useless product.big disappointment.
";-;-;-;-
"received this boat 255 earphones yesterday evening.sound quality is perfect. good combination of bass and treble. can feel every beat.connectivity is quick. detects and connects easily.battery life is good. stayed around 10-11 hrs.as i received this yesterday evening. have been playing since then. so its just the first day review. but performance is good.earphones looks solid. build quality is good. the magnates are really helpful to hold the earphones. earphones looks great.earphone wire could be bit long. but that's fine for me. not sure about others.didn't get chance to charge so not sure about the time to full charge.one thing i observed during my 10 hours play time that the music stopped playing itself in middle. not sure it it gets disconnected or there is some technical problem.but overall performance was nice. good experience.
";Positive;-;-;-
"the product is a good buy if you are looking for a decent bluetooth earphones with a reputed brand.sound quality 4/5)- pretty good with good amount of bass.durability (4/5)- the material seems durable and the earphones are light weightbattery life (3.5/5)- it has a decent battery life of upto 5-6 hours playtime on 80% volume.connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangecall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. sometimes the call gets distorted.
";Neutral;Positive;-;-
"below average product. not happy at all.pros : good sound qualitycons : very uncomfortable, silicon buds are not soft. bought a memory foam bud pair to use it.battery life is just ok. once give a low battery alarm, dies within 2 minlittle heavy on earsno return possible
";Neutral;-;-;-
"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece and that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. and seems like boat just focussed on bass for these earphones. note my words just and just bass, too much bass for long time will surely give u headache. i bought these for 999/- but i don't think so they are worth that. my senhessier cx wired earphones are way too much better than these, way too much. so if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.
";Neutral;-;-;Neutral
"rightside speaker stop working within 20 days.
";-;-;-;-
"defective product. not working, had to return the defective product.
";Negative;-;-;-
"although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. i bought this product withing a week controls where stop responding cant switch on or do anything.replaced it got refund bought another piece different color that worn out in a day.both the time seller was "" appario retail private ltd"". so i leave it to your wisdom whether you want to buy this or not. i will never buy this brand at least from this platform.
";Positive;-;Neutral;-
"battery is faulty
";-;-;-;-
"boat blue tooth 255, ye doubt voice quality is amazing for 30 days or so you will be big fan or boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one sideboat service on same again so pathetic , raise an complaint almost 10days back for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days boat will take to repair... big suggestion do not buy this
";Positive;-;-;-
